,segregation,beta,fin_event_prob,nonfin_event_prob,event_size,net_upd_freq,rec_intervention_factor,intervention_gap,hist_len,fb_fin,fb_nonfin,soc_cap_base,soc_cap_inf,dummy,Mean SWB norm,Var SWB norm,Mean SWB,Var SWB,Mean SWB exp,Var SWB exp,Mean SWB community,Var SWB_community,Mean habituation,Var habituation,Mean sensitisation,Var sensitisation,Mean desensitisation,Var desensitisation,Mean social w,Var social w,Mean financial,Var financial,Mean financial exp,Var financial exp,Mean non-financial,Var non-financial,Mean non-financial exp,Var non-financial exp,Mean financial sens,Var financial sens,Mean non-financial sens,Var non-financial sens,Mean RFC,Var RFC,Mean RFC exp,Var RFC exp,Mean social capital,Var social capital,Mean social capital exp,Var social capital exp, Mean SWB before intervention,Var SWB before intervention,Mean SWB after intervention, Var SWB after intervention,System behaviour,Percent changed positive,Percent changed negative,Percent not changed,System changed
21,1.764642683789134,9.426388163119555,0.6500323889777064,0.8121483996510506,3.336622859351337,0.9751826068386436,1.1045110528357327,19.14447358623147,14.866768485866487,0.46524319238960743,0.5751251000910997,0.9416956130508334,3.494831378106028,6.109295701608062,5.051331501450461,0.8392157190727914,5.083842028172242,3.292784555672798,5.077148379458645,2.0146365809008957,1.0397350993377483,0.23683171790710933,6.755731258729401,13.536133369971857,1.1267699704066625,0.19432774561433225,1.0866125715544344,0.19334560102151985,4.826395856170946,8.63704762047528,225.82935588999993,10879559.06470671,158.2806352519564,1468513.0034909018,364.9828003471459,14685363.005451404,252.25073578329935,5628408.6157508055,1.1782390708756492,0.7770377858749299,1.2930142231562312,0.9519817097729886,4.371995480092238,6.869158404345716,4.4170149859711385,5.415571347868353,0.16875385827582567,0.004116189415527384,0.16664330434792893,0.003492459578747142,5.070693366444113,1.6618389965217288,5.111348801029662,7.1333297768871615,0.0,0.02,0.13,0.85,1.0
22,1.764642683789134,9.426388163119555,0.6500323889777064,0.8121483996510506,3.336622859351337,0.9751826068386436,1.1045110528357327,19.14447358623147,14.866768485866487,1.4570084661245346,1.9729614462703466,0.9416956130508334,3.494831378106028,6.109295701608062,5.051331501450461,0.8392157190727914,5.394459866968765,9.801514776277413,5.384922090247143,4.92993929793955,1.0397350993377483,0.23683171790710933,6.97916165346888,16.278454260854783,1.0822655934694099,0.1683122622828104,1.092576442176859,0.17836168851083353,4.887275349535072,8.963224393253666,37364.570329014685,1484440566275.6138,28993.87618258105,514261125240.8037,7801176.824410349,1.7599385035475254e+17,6453023.080619571,4.671397049722246e+16,1.3620946530915317,1.1314853129483762,1.3749457983823272,1.1726987378910696,3.492249690978971,7.545076064995544,3.5482152469105053,5.311804045579074,0.1985397154712254,0.0074397733952694745,0.19592079233817916,0.006152910680971376,5.34557073353882,6.944137316335656,5.331724649548408,15.738033209758212,0.0,0.02,0.03,0.95,0.0
23,1.764642683789134,9.426388163119555,0.6500323889777064,0.8121483996510506,3.336622859351337,0.9751826068386436,1.1045110528357327,19.14447358623147,14.866768485866487,1.4570084661245346,0.5751251000910997,0.19256294978782534,3.494831378106028,6.109295701608062,5.051331501450461,0.8392157190727914,5.239883514766923,6.814024149673498,5.238584793141998,3.576850446208756,1.0397350993377483,0.23683171790710933,7.024376216595281,13.97360973783467,1.0193595407822391,0.1495305693398605,1.075006186030039,0.1672660894582012,4.482799144790136,7.754860328677219,16878.074954161304,73342299595.89613,12571.561848007828,25614513470.880814,436.5458891224183,25348173.343821697,365.15576752106136,14577191.245355453,1.3244662796264206,1.0699686898425655,1.221214426580854,0.8113688550244876,3.620779308821981,7.17353257352121,3.683930476324405,5.220917816373396,0.19888096586030002,0.005096645041864179,0.19571337117295629,0.004055822097915478,5.180952205239719,4.364649211430717,5.271708184991057,11.763164515576811,0.0,0.03,0.1,0.87,0.0
24,1.764642683789134,9.426388163119555,0.6500323889777064,0.8121483996510506,3.336622859351337,0.9751826068386436,1.1045110528357327,19.14447358623147,14.866768485866487,1.4570084661245346,0.5751251000910997,0.9416956130508334,1.738721853820607,6.109295701608062,5.051331501450461,0.8392157190727914,5.243700283020251,6.819674258015716,5.228113505553717,3.6516027675937703,1.0397350993377483,0.23683171790710933,7.050160115855994,17.496352977879408,1.0650836032840756,0.1785321612475097,1.00870508329014,0.18144585924527887,5.110915876650614,7.020388958706252,32263.906876834993,675442956906.3976,10241.012636192701,35272939774.688,3102.01658158135,23140960527.961876,2920.4197124898437,23011791350.330685,1.2881515254697073,1.0194530476775603,1.2792489936352496,0.9257127107485568,3.47979162974707,7.219928309787231,3.5363521162572775,5.229320917936672,0.16736426658542986,0.00392387955141993,0.1663494264082068,0.0030173521769900962,5.194628959616627,4.443566502425917,5.249749381076749,11.55309789034536,0.0,0.01,0.1,0.89,1.0
25,0.19712202437222004,17.31861127540469,0.43495837040245533,0.3014120701700449,1.2732655135914683,0.3466622792184353,1.5208040000870824,35.267032193019986,37.629619169048965,0.11448699608445168,1.0186256803572178,0.6125468142330647,1.7046850614715368,0.24949603714048862,5.051331501450461,0.8392157190727914,5.468553950002197,5.101851780984836,5.306610693094376,2.338488316885821,1.0397350993377483,0.23683171790710933,20.209546431297454,112.94546317037725,1.0589171481378563,0.18930661560147857,1.1124509909227618,0.1937756435954083,5.03053418897686,7.867374675347767,110.58326393083594,59304.81712957988,80.39795483737993,13062.002199383163,85041063.31744517,5.002220423288285e+18,15154957.699243238,5.115650747581206e+16,1.249288076214606,0.843101071233775,1.2760812855614574,0.9439339629423885,3.973612592017137,7.132331137008742,4.110194418735474,6.622738921499708,0.6088206636531839,0.021120407859279277,0.5807414931943647,0.01899614579230588,5.170742173914734,2.553456789717653,5.327885914436154,10.060003887705825,0.0,0.14,0.2,0.66,0.0
26,0.19712202437222004,17.31861127540469,0.43495837040245533,0.3014120701700449,1.2732655135914683,0.3466622792184353,1.5208040000870824,35.267032193019986,37.629619169048965,0.11448699608445168,1.0186256803572178,0.38957618329674004,2.3907059812918305,0.24949603714048862,5.051331501450461,0.8392157190727914,5.346244194098246,4.673446851193943,5.239250630706605,2.208502406019364,1.0397350993377483,0.23683171790710933,17.554277516776143,116.99517898739148,1.0964148743360957,0.20046740125214968,0.9659107927422242,0.1585185757492726,4.824387857061406,8.810366006719137,102.95537195523455,266265.53104905615,84.57563741484704,203201.39763881257,14294962.188060028,2.6816258594537382e+17,2765724.7484164275,2653247060122753.5,1.1424045622641321,0.625558090100219,1.2824381986324116,0.9535758021104292,4.1388357759336865,7.712828869942881,4.2490884189539235,7.2348331629541915,0.6087495700636232,0.021770442903393503,0.5827279960571873,0.018696758220016124,5.127910688019703,2.48033823168998,5.261841181781316,9.277110847778836,0.0,0.18,0.29,0.53,1.0
27,0.19712202437222004,17.31861127540469,0.43495837040245533,0.3014120701700449,1.2732655135914683,0.3466622792184353,1.5208040000870824,35.267032193019986,37.629619169048965,0.11448699608445168,1.0186256803572178,0.38957618329674004,1.7046850614715368,6.502027437090874,5.051331501450461,0.8392157190727914,5.381078700974491,4.672187017070429,5.254981463731183,2.189119056727874,1.0397350993377483,0.23683171790710933,18.637392777897187,112.20250275752706,1.0631275310648372,0.16898347767711816,1.1425133200748336,0.18037374023552602,4.7370194818317835,9.416591861221839,98.47467163283675,32805.67219503886,76.45759364879619,8566.718205648516,135821471.0010681,2.803401615961019e+19,14429825.498167928,2.2655019965035392e+17,1.2218024184734253,0.8031141704157251,1.187634696509971,0.7634738033000598,3.944956942976551,7.540573678052057,4.06395656750001,6.967252233104949,0.6041318737112831,0.02003815697163037,0.5781058401643256,0.018427808309567965,5.113898260868388,2.4751209283259525,5.331074493857509,9.030860027210894,0.0,0.19,0.14,0.67,1.0
28,0.19712202437222004,5.025139320641756,0.13878267351537943,0.04449957050383091,4.795041372999549,0.8183224014937878,1.2884692922234535,2.080876264721155,24.57475571986288,1.1474477462470531,0.29735169745981693,0.6125468142330647,2.3907059812918305,6.502027437090874,5.051331501450461,0.8392157190727914,5.182558171288925,4.553231158389912,5.179305798778588,2.5777974776371724,1.0397350993377483,0.23683171790710933,10.81215062921691,47.63703743072854,1.1399856550272598,0.19206276558173296,1.0309706228702629,0.18962066585039838,5.16681191168899,7.707171462726527,12891781.497450942,2.792996094662593e+17,8297253.223582767,6.42539026487117e+16,211.66856949047062,2275844.067180651,172.52563106151987,976850.0296937233,0.95480208506958,0.4807003482736472,1.1087006322308124,0.3327093924033968,2.893464567090112,6.1561605752751385,3.0289471882090213,5.003584946895355,0.552418586078722,0.015840507044501052,0.5383769793319809,0.012525165310517165,5.104774200606474,3.9067698771574797,5.2603729812599855,6.313268464114698,0.0,0.51,0.09,0.4,1.0
29,1.025426246225834,17.31861127540469,0.13878267351537943,0.04449957050383091,4.795041372999549,0.8183224014937878,1.2884692922234535,2.080876264721155,24.57475571986288,1.1474477462470531,0.29735169745981693,0.6125468142330647,2.3907059812918305,6.502027437090874,5.051331501450461,0.8392157190727914,5.245027800761408,5.083987552738735,5.231980477093758,2.792250146498674,1.0397350993377483,0.23683171790710933,12.416477777355459,45.705621809138286,1.1141801269677307,0.17264972991474792,1.0234832228972315,0.1887247661898944,5.298922994310673,7.073096883559536,59252363.93998356,6.796000424561884e+18,9153939.911476394,1.401267456103818e+17,762.5078306176274,139957154.50688952,732.135880080852,99011348.60627395,0.9802816122992973,0.507308596657395,1.077036415759291,0.27114486227372586,2.867627579992296,6.136886526113981,3.011702499332792,5.016235526769699,0.44011547045007826,0.012085564656344914,0.43023826892395284,0.010396682478486022,5.143902118918418,4.452662770098808,5.405924519368488,6.538992495448522,0.0,0.49,0.11,0.4,1.0
30,1.025426246225834,5.025139320641756,0.43495837040245533,0.04449957050383091,4.795041372999549,0.8183224014937878,1.2884692922234535,2.080876264721155,24.57475571986288,1.1474477462470531,0.29735169745981693,0.6125468142330647,2.3907059812918305,6.502027437090874,5.051331501450461,0.8392157190727914,5.303581331362642,5.462843439517086,5.264253632106042,2.8702693164711177,1.0397350993377483,0.23683171790710933,11.237947664161485,48.44986887951862,1.0970126347257745,0.17834384822430902,1.1989949998966598,0.2061431573197437,4.916042409707688,8.805639910837737,170573102.1781643,3.94016255311765e+19,31132306.658142556,1.7787723699220974e+18,321.79666549629485,3765379.4075415763,244.81408099555904,1353981.6698895777,1.1572921094556687,0.8238699079740058,1.06738576948597,0.2773083423535908,3.4975775723195635,7.587078891235348,3.5725374161190206,5.34555661696585,0.19014631913398006,0.004606160452902208,0.18554877967851224,0.003321361297171281,5.165589705476713,4.257702908268919,5.475953899701034,7.672478378039772,0.0,0.43,0.06,0.51,1.0
